Bathing Water,Lat,Long,Water Company ,Classification
Ainsdale,53.6079274110244,-3.06398779831433,United Utilities Water Limited,Good
Allonby,54.7680362472678,-3.43462529244341,United Utilities Water Limited,Good
Allonby South,54.7439601786834,-3.45645360335536,United Utilities Water Limited,#N/A
Amble Links,55.3256518430612,-1.55240065878181,Northumbrian Water Limited,Excellent
Anderby,53.2597742443608,0.325519540952037,Anglian Water Services Limited,Excellent
Anstey's Cove (Torquay),50.4718461526252,-3.50108973053771,South West Water Limited,Excellent
Babbacombe,50.4790773297118,-3.50940906870732,South West Water Limited,Excellent
Bamburgh Castle,55.6109624803421,-1.70790347736216,Northumbrian Water Limited,Excellent
Bantham,50.2789762008753,-3.87879994454741,South West Water Limited,Excellent
Beachlands Central,50.7835933373875,-0.989275631087487,Southern Water Services Limited,Excellent
Beachlands West,50.7836072294375,-1.00133285633792,Southern Water Services Limited,Excellent
Beacon Cove,50.4574885725162,-3.52351410410433,South West Water Limited,Excellent
Beadnell,55.5487603048552,-1.63228751096927,Northumbrian Water Limited,Excellent
Beer,50.6965510583491,-3.08988755469152,South West Water Limited,Excellent
Bembridge,50.686221830107,-1.0696931248814,Southern Water Services Limited,Excellent
Berrow North of Unity Farm,51.2817458565281,-3.01775519293808,Wessex Water Services Limited,Good
Bexhill,50.8365338778057,0.470332162386613,Southern Water Services Limited,Sufficient
Bigbury-on-Sea North,50.2831786856372,-3.89693283004622,South West Water Limited,Excellent
Bigbury-on-Sea South,50.2816804127364,-3.89504849620995,South West Water Limited,Excellent
Birling Gap,50.7425953434466,0.200669020232404,Southern Water Services Limited,Excellent
Bispham,53.8489001908846,-3.05489054230437,United Utilities Water Limited,Excellent
Blackpool Central,53.8026522997753,-3.05621915051379,United Utilities Water Limited,Good
Blackpool North,53.8161226569306,-3.05658832625312,United Utilities Water Limited,Sufficient
Blackpool Sands,50.3194415592079,-3.60970013678095,South West Water Limited,Excellent
Blackpool South,53.7906362899484,-3.05910494392652,United Utilities Water Limited,Good
Blue Anchor West,51.1824184866261,-3.40119891207819,Wessex Water Services Limited,Sufficient
Blyth South Beach,55.1088743553324,-1.49682827055485,Northumbrian Water Limited,Excellent
