bb_site,permit_id,confident,bb_name
109702,A00634,0.575,ALBANY ROAD EAST COWES
109973,A00735,0.5675676,ALDWICK AVENUE BOGNOR
109960,A00733,0.44444445,ALDWICK ROAD BOGNOR
109779,A00769,0.45454547,ASHEY ROAD RYDE
109782,A00760,0.4857143,AUGUSTA ROAD RYDE
109613,A01335,0.53333336,BARROWS BROOK EASTCHURCH
110046,A01188,0.5555556,BEACH ROAD NEWHAVEN
109801,A01194,0.4,BECTON LANE BARTON ON SEA
109903,A00857,0.3148148,BEXHILL & HASTINGS NO2
115500,A00743,0.38235295,BEXHILL DOWN
109954,A00843,0.54761904,BLACK ROCK MARINE DRIVE BRIGHTON
109614,K02065,0.6,BRIELLE WAY WESTMINSTER
109971,A01258,0.5,BROADMARK LANE RUSTINGTON
109829,A01102,0.53488374,BROOK ROAD SWALECLIFFE
109772,A00752,0.36734694,BUDDS FARM HAVANT NO1
109773,A00752,0.36734694,BUDDS FARM HAVANT NO2
109816,A01386,0.6585366,BURRFIELDS ROAD PORTSMOUTH
109958,A00732,0.41509435,CARLTON AVENUE BOGNOR
109703,A01298,0.4871795,CASTLE STREET COWES
109836,NPSWQD002203,0.31428573,CHICHESTER
109970,A00482,0.54761904,CHICHESTER ROAD BOGNOR
115695,A01247,0.57575756,CHURCH ROAD SELSEY
109898,A00795,0.49056605,CINQUE PORTS WAY HASTINGS NO1
110047,A01231,0.4090909,CLIFF END SEAFORD
115503,A00746,0.35555556,COODEN BEACH BEXHILL
109920,A00959,0.6111111,CORTIS AVENUE WORTHING
109819,A00657,0.42105263,COURT LANE COSHAM
109716,A00877,0.34545454,CROFTON TITCHFIELD
109792,A00510,0.6216216,EAST BEACH ROAD SELSEY
110024,A01108,0.43636364,EASTERN GARDENS SANDOWN
109677,A00031,0.53333336,EDDINGTON LANE HERNE BAY NO1
109678,A00031,0.53333336,EDDINGTON LANE HERNE BAY NO2
109704,A00635,0.39130434,EGYPT POINT COWES
102050,A00766,0.51428574,ESPLANADE SEAVIEW
100481,A00701,0.37931034,FLOWERS BROOK VENTNOR
109688,A00430,0.5641026,FOADS HILL CLIFFS END
109687,A00102,0.45454547,FOADS LANE RAMSGATE
111724,A01477,0.74358976,GAINSBOROUGH DRIVE HERNE BAY
111338,A00740,0.35416666,GALLEY HILL BEXHILL
