edm_name,bathing_name,edm_name
Ainsdale,Ainsdale,
Ainsdale,Ainsdale,
Ainsdale,Ainsdale,
"Ainsdale; Southport",Ainsdale,
"Allonby South; Allonby West Winds",Allonby,
Allonby,Allonby,
Allonby,Allonby,
Allonby,Allonby,
Allonby,Allonby,
Allonby,Allonby,
Allonby,Allonby,
Allonby,Allonby,
Allonby,Allonby,
Allonby,Allonby,
Allonby South,Allonby,Allonby South
Allonby South,Allonby,Allonby South
Allonby South,Allonby,Allonby South
Allonby South and Allonby West Winds,Allonby,Allonby South and Allonby West Winds
Allonby_x000D_Allonby South,Allonby,Allonby_x000D_Allonby South
BABBACOMBE BEACH,Babbacombe,BABBACOMBE BEACH
BABBACOMBE BEACH,Babbacombe,BABBACOMBE BEACH
BABBACOMBE BEACH,Babbacombe,BABBACOMBE BEACH
BABBACOMBE BEACH,Babbacombe,BABBACOMBE BEACH
Bamburgh Castle,Bamburgh Castle,
BANTHAM BEACH,Bantham,BANTHAM BEACH
"BEACHLANDS CENTRAL, BEACHLANDS WEST, EASTNEY, SOUTHSEA EAST",Beachlands Central,"BEACHLANDS CENTRAL, BEACHLANDS WEST, EASTNEY, SOUTHSEA EAST"
"BEACHLANDS CENTRAL, BEACHLANDS WEST, EASTNEY, SOUTHSEA EAST",Beachlands Central,"BEACHLANDS CENTRAL, BEACHLANDS WEST, EASTNEY, SOUTHSEA EAST"
"BEACHLANDS CENTRAL, BEACHLANDS WEST, EASTOKE",Beachlands Central,"BEACHLANDS CENTRAL, BEACHLANDS WEST, EASTOKE"
"BEACHLANDS CENTRAL, BEACHLANDS WEST, EASTOKE, WEST WITTERING",Beachlands Central,"BEACHLANDS CENTRAL, BEACHLANDS WEST, EASTOKE, WEST WITTERING"
BEACON COVE BEACH,Beacon Cove,BEACON COVE BEACH
BEACON COVE BEACH,Beacon Cove,BEACON COVE BEACH
BEACON COVE BEACH,Beacon Cove,BEACON COVE BEACH
Beadnell,Beadnell,
Beadnell,Beadnell,
Beadnell,Beadnell,
BEER BEACH,Beer,BEER BEACH
BEER BEACH,Beer,BEER BEACH
"BEMBRIDGE, SEAGROVE, ST HELENS",Bembridge,"BEMBRIDGE, SEAGROVE, ST HELENS"
"BEMBRIDGE, SEAGROVE, ST HELENS",Bembridge,"BEMBRIDGE, SEAGROVE, ST HELENS"
"BEMBRIDGE, SEAGROVE, ST HELENS",Bembridge,"BEMBRIDGE, SEAGROVE, ST HELENS"
"BEMBRIDGE, SEAGROVE, ST HELENS",Bembridge,"BEMBRIDGE, SEAGROVE, ST HELENS"
"BEMBRIDGE, SEAGROVE, ST HELENS",Bembridge,"BEMBRIDGE, SEAGROVE, ST HELENS"
"BEMBRIDGE, ST HELENS",Bembridge,"BEMBRIDGE, ST HELENS"
"BEMBRIDGE, ST HELENS",Bembridge,"BEMBRIDGE, ST HELENS"
BEXHILL,Bexhill,
BEXHILL,Bexhill,
BEXHILL,Bexhill,
BEXHILL,Bexhill,
BEXHILL,Bexhill,
BEXHILL,Bexhill,
"BEXHILL, NORMANS BAY",Bexhill,"BEXHILL, NORMANS BAY"
"BEXHILL, NORMANS BAY",Bexhill,"BEXHILL, NORMANS BAY"
"BEXHILL, ST LEONARDS",Bexhill,"BEXHILL, ST LEONARDS"
BIGBURY-ON-SEA (NORTH) BEACH,Bexhill,BIGBURY-ON-SEA (NORTH) BEACH
BIGBURY-ON-SEA (NORTH) BEACH,Bexhill,BIGBURY-ON-SEA (NORTH) BEACH
BIRLING GAP,Birling Gap,
"Bispham, Cleveleys, Fleetwood",Bispham,"Bispham, Cleveleys, Fleetwood"
"Bispham, Cleveleys, Fleetwood",Bispham,"Bispham, Cleveleys, Fleetwood"
"Bispham; Cleveleys; Fleetwood",Bispham,""
Blackpool (South),Bispham,Blackpool (South)
Blackpool North,Blackpool North,
Blackpool North,Blackpool North,
"Blackpool North; Blackpool Central; Blackpool South",Blackpool North,""
"Blackpool North, Blackpool Central, and Blackpool South",Blackpool North,"Blackpool North, Blackpool Central, and Blackpool South"
"Blackpool North, Blackpool Central, Blackpool South and Bispham",Blackpool North,"Blackpool North, Blackpool Central, Blackpool South and Bispham"
"Blackpool North; Blackpool Central; Blackpool South; Bispham",Blackpool North,
"St Annes; St Annes North; Blackpool South; Blackpool Central; Blackpool North; Southport, Ainsdale",Blackpool Central,
BLUE ANCHOR WEST,Blue Anchor West,
BLUE ANCHOR WEST,Blue Anchor West,
BLUE ANCHOR WEST,Blue Anchor West,
BLUE ANCHOR WEST,Blue Anchor West,
BLUE ANCHOR WEST,Blue Anchor West,
BLUE ANCHOR WEST,Blue Anchor West,
BLUE ANCHOR WEST,Blue Anchor West,
