company,site,permit,activity_reference,is_shellfishery,is_bathing_beach,spill_duration,spill_count,reporting_coverage_pct,comments
Southern Water,ABBEY ROAD STEYNING CSO,A511/S/89,Storm,,,115.69,21.0,100.0,A00511
Southern Water,ABBEYFIELDS FAVERSHAM CSO,A920/K/99,Storm,,,3.72,5.0,99.73,A00920
Southern Water,ABBEYFIELDS FAVERSHAM WPS,A1377/K/05,Storm,,,76.79,23.0,99.73,A01377
Southern Water,ABBEYFIELDS FAVERSHAM WPS,A1467/K/06,Emergency,,,6.63,2.0,99.73,A01467
Southern Water,ACORN CLOSE GOSPORT WPS,A818/H/98,Emergency,,,0.0,0.0,100.0,A00818
Southern Water,ALBANY ROAD EAST COWES WPS,A634/IOW/92,Emergency,,,0.0,0.0,98.87,A00634
Southern Water,ALBANY ROAD EAST COWES WPS,COPA/9094,Storm,,,211.95,28.0,98.87,A02507
Southern Water,ALBANY ROAD EAST COWES WPS,COPA/9094,Storm,,,0.09,1.0,98.55,A01298
Southern Water,ALBERT ROAD CHAPEL DEPOT WPS,A1146/H/01,Storm,,,119.15,7.0,97.7,A01146
Southern Water,ALBERT ROAD CHAPEL DEPOT WPS,A1146/H/01,Emergency,,,0.0,0.0,97.7,A01146
Southern Water,ALBION PLACE MAIDSTONE CSO,A1466/K/06,Storm,,,1.07,2.0,100.0,A01466
Southern Water,ALDERBROOK WAY CROWBOROUGH CSO,A897/K/99,Storm,,,5.85,4.0,99.82,A00897
Southern Water,ALDERBROOK WAY CROWBOROUGH CSO,A897/K/99,Storm,,,5.08,4.0,99.82,A00897
Southern Water,ALDWICK AVENUE BOGNOR CSO,A735/S/CH/97,Storm,,,45.41,9.0,100.0,A00735
Southern Water,ALEXANDRA ROAD HYTHE H CSO,51/160 ,Storm,,,16.87,8.0,95.16,NPSWQD011004
Southern Water,ALFRISTON WPS,A727/S/97,Emergency,,,146.93,8.0,99.49,A00727
Southern Water,ALFRISTON WPS,A727/S/97,Storm,,,1055.64,72.0,99.49,A00727
Southern Water,ALVER ROAD GOSPORT WPS,A340/H/89,Emergency,,,0.0,0.0,99.68,A00340
Southern Water,ALVER ROAD GOSPORT WPS,A1391/H/05,Storm,,,0.75,1.0,99.68,A01391
Southern Water,ALVERSTONE SHUTE ALVERSTONE WPS,A219/IOW/89,Storm,,,33.83,6.0,100.0,A00219
Southern Water,ALVERSTONE SHUTE ALVERSTONE WPS,A219/IOW/89,Emergency,,,2.47,1.0,100.0,A00219
Southern Water,AMBERSTONE HAILSHAM WPS,62/1/112,Storm,,,0.0,0.0,94.94,S01450
Southern Water,AMBERSTONE VIEW HAILSHAM NEW CSO,A1179/S/02,Storm,,,57.63,16.0,100.0,A01179
Southern Water,ANCTON LANE MIDDLETON ON SEA WPS,331/10/1/63,Storm,,,0.0,0.0,97.92,S01076
Southern Water,ANTON LANE ANDOVER WPS,A01287/H/05,Storm,,,1.35,1.0,99.32,A01287
Southern Water,ANTON LANE ANDOVER WPS,A01287/H/05,Emergency,,,0.0,0.0,99.32,A01287
